2025-11-09 18:28:53 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:28:53 | INFO     | src.agents.watcher_agent:run:391 | Esperando 65 segundos antes del siguiente ciclo...
2025-11-09 18:29:59 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:29:59 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:154 | Total de correos encontrados con asunto 'Expediente': 1
2025-11-09 18:29:59 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:168 | De 1 correos, 0 son nuevos (no procesados)
2025-11-09 18:30:00 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:30:00 | INFO     | src.agents.watcher_agent:run:391 | Esperando 65 segundos antes del siguiente ciclo...
2025-11-09 18:30:53 | INFO     | src.agents.watcher_agent:run:395 | Watcher Agent detenido por el usuario
2025-11-09 18:31:04 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:31:04 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:31:04 | INFO     | src.agents.watcher_agent:_load_processed_uids:33 | Cargados 1 UIDs procesados
2025-11-09 18:31:04 | INFO     | src.agents.watcher_agent:run:370 | Watcher Agent iniciado
2025-11-09 18:31:05 | INFO     | src.agents.watcher_agent:_connect_imap:58 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:31:05 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:154 | Total de correos encontrados con asunto 'Expediente': 1
2025-11-09 18:31:05 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:168 | De 1 correos, 0 son nuevos (no procesados)
2025-11-09 18:31:06 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:77 | Desconectado de IMAP
2025-11-09 18:31:06 | INFO     | src.agents.watcher_agent:run:391 | Esperando 300 segundos antes del siguiente ciclo...
2025-11-09 18:31:14 | INFO     | src.agents.watcher_agent:run:395 | Watcher Agent detenido por el usuario
2025-11-09 18:40:19 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:40:19 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:40:19 | INFO     | src.agents.watcher_agent:_load_processed_uids:36 | Cargados 1 UIDs procesados
2025-11-09 18:40:19 | INFO     | src.agents.watcher_agent:run:368 | Watcher Agent iniciado
2025-11-09 18:40:21 | INFO     | src.agents.watcher_agent:_connect_imap:61 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:40:21 | WARNING  | src.agents.watcher_agent:_search_emails_with_subject:147 | No se pudo usar X-GM-RAW: UID command error: BAD [b'Could not parse command']
2025-11-09 18:40:21 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:152 | Total (SEARCH) con asunto 'Expediente': 1
2025-11-09 18:40:22 | INFO     | src.agents.watcher_agent:_process_email:302 | UID=10481 Subject='Expediente Docente - Test 1'
2025-11-09 18:40:22 | DEBUG    | src.agents.watcher_agent:_save_email_body:210 | Guardado cuerpo del correo en /home/genghis/Documents/Uneg/agente-inteligente-expedientes/data/input/10481/info_mail.txt
2025-11-09 18:40:22 | DEBUG    | src.agents.watcher_agent:_save_attachments:227 | UID=10481 partes MIME inspeccionadas para adjuntos: 5
2025-11-09 18:40:22 | INFO     | src.agents.watcher_agent:_save_attachments:271 | 📎 Guardado adjunto: 1067672829.19-12-24.pdf en /home/genghis/Documents/Uneg/agente-inteligente-expedientes/data/input/10481/1067672829.19-12-24.pdf
2025-11-09 18:40:22 | SUCCESS  | src.agents.watcher_agent:_process_email:326 | Procesado UID 10481: 1 adjunto(s) guardado(s) en /home/genghis/Documents/Uneg/agente-inteligente-expedientes/data/input/10481
2025-11-09 18:40:23 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:80 | Desconectado de IMAP
2025-11-09 18:40:23 | INFO     | src.agents.watcher_agent:run:389 | Esperando 300 segundos antes del siguiente ciclo...
2025-11-09 18:41:10 | INFO     | src.agents.watcher_agent:run:393 | Watcher Agent detenido por el usuario
2025-11-09 18:41:21 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:41:21 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:41:21 | INFO     | src.agents.watcher_agent:_load_processed_uids:36 | Cargados 2 UIDs procesados
2025-11-09 18:41:21 | INFO     | src.agents.watcher_agent:run:368 | Watcher Agent iniciado
2025-11-09 18:41:22 | INFO     | src.agents.watcher_agent:_connect_imap:61 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:41:22 | WARNING  | src.agents.watcher_agent:_search_emails_with_subject:147 | No se pudo usar X-GM-RAW: UID command error: BAD [b'Could not parse command']
2025-11-09 18:41:23 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:152 | Total (SEARCH) con asunto 'Expediente': 1
2025-11-09 18:41:23 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:80 | Desconectado de IMAP
2025-11-09 18:41:23 | INFO     | src.agents.watcher_agent:run:389 | Esperando 60 segundos antes del siguiente ciclo...
2025-11-09 18:42:24 | INFO     | src.agents.watcher_agent:_connect_imap:61 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:42:25 | WARNING  | src.agents.watcher_agent:_search_emails_with_subject:147 | No se pudo usar X-GM-RAW: UID command error: BAD [b'Could not parse command']
2025-11-09 18:42:25 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:152 | Total (SEARCH) con asunto 'Expediente': 1
2025-11-09 18:42:26 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:80 | Desconectado de IMAP
2025-11-09 18:42:26 | INFO     | src.agents.watcher_agent:run:389 | Esperando 60 segundos antes del siguiente ciclo...
2025-11-09 18:42:46 | INFO     | src.agents.watcher_agent:run:393 | Watcher Agent detenido por el usuario
2025-11-09 18:55:00 | INFO     | src.config:<module>:13 | Archivo .env cargado correctamente desde: /home/genghis/Documents/Uneg/agente-inteligente-expedientes/.env
2025-11-09 18:55:00 | INFO     | __main__:main:8 | Watcher started...
2025-11-09 18:55:00 | INFO     | src.agents.watcher_agent:_load_processed_uids:36 | Cargados 2 UIDs procesados
2025-11-09 18:55:00 | INFO     | src.agents.watcher_agent:run:409 | Watcher Agent iniciado
2025-11-09 18:55:01 | INFO     | src.agents.watcher_agent:_connect_imap:61 | Conectado a imap.gmail.com en carpeta INBOX
2025-11-09 18:55:01 | WARNING  | src.agents.watcher_agent:_search_emails_with_subject:139 | No se pudo usar X-GM-RAW: SEARCH command error: BAD [b'Could not parse command']
2025-11-09 18:55:01 | INFO     | src.agents.watcher_agent:_search_emails_with_subject:144 | Total (SEARCH) con asunto 'Expediente': 1
2025-11-09 18:55:02 | DEBUG    | src.agents.watcher_agent:_process_email:341 | UID 10481 ya procesado, omitiendo
2025-11-09 18:55:03 | DEBUG    | src.agents.watcher_agent:_disconnect_imap:80 | Desconectado de IMAP
2025-11-09 18:55:03 | INFO     | src.agents.watcher_agent:run:430 | Esperando 60 segundos antes del siguiente ciclo...
2025-11-09 18:55:37 | INFO     | src.agents.watcher_agent:run:434 | Watcher Agent detenido por el usuario
